,user_id,trajectory_id
728,60,cl2uct5hl0011396cx2hm39g2
729,60,cl2uctko10015396cqneyuaad
731,60,cl2ucxeoq001d396cmlghy79f
732,60,cl2ucxml8001h396cg8shefje
740,60,cl2udlyc9002r396cukvwi44n
753,82,ckz79y7oo000c38678tbjp6py
758,82,ckz79zzaq001538670wzakpti
777,82,cl3eig0jc000v3f6cph2jn9xc
796,82,cl3g4432m0003396c644k0st1
803,82,cl4za2v3u000c3y6fc6jz65yn
804,82,cl4za4fnb000g3y6frpvd1jm6
805,82,cl4zaco4r000k3y6fa7pk88t5
