atributo,cluster,U,p_bruto,p_ajustado_FDR_por_atributo,significativo,efeito_r,mediana_cluster,mediana_resto,direcao
Serum C14:0 (myristic acid),4_2,10878.5,0.529339783608098,0.6922135631798205,False,0.021841044370036557,0.26,0.26,Igual
Serum C14:0 (myristic acid),4_3,12636.0,0.07285390040107098,0.2064193844697011,False,0.06225544742369694,0.26,0.26,Igual
Serum C16:0 (palmitic acid),0_0,8942.5,0.4671963692453942,0.6327121616690867,False,-0.02554224325178448,29.15,29.15,Igual
Serum C16:0 (palmitic acid),0_1,25902.5,0.003463839251984068,0.058885267283729156,False,-0.10264519753205158,29.15,29.15,Igual
Serum C16:0 (palmitic acid),0_3,6035.0,0.07400127069094714,0.3376648940483093,False,-0.06274539820746915,28.42,29.15,Menor
Serum C16:0 (palmitic acid),1_1,26273.0,0.6603797437316573,0.7780504151762694,False,0.015436593870897032,29.15,29.15,Igual
Serum C16:0 (palmitic acid),1_3,45298.5,0.26332152350208937,0.5595582374419399,False,0.03928087649624575,29.15,29.15,Igual
Serum C16:0 (palmitic acid),1_4,12748.5,0.40767213842515826,0.6327121616690867,False,-0.029084122897352457,28.68,29.15,Menor
Serum C16:0 (palmitic acid),2_1,10492.0,0.7322827436953123,0.7780504151762694,False,-0.012025434354345277,29.15,29.15,Igual
Serum C16:0 (palmitic acid),2_3,5572.0,0.41190855648393276,0.6327121616690867,False,-0.02882847954607115,29.04,29.15,Menor
Serum C16:0 (palmitic acid),2_4,23076.5,0.033588855300075875,0.28550527005064497,False,0.0746193240278008,29.22,29.15,Maior
Serum C16:0 (palmitic acid),3_0,5622.5,0.10430016811961551,0.35462057160669275,False,0.05705453888793155,29.64,29.15,Maior
Serum C16:0 (palmitic acid),3_1,38899.5,0.7038960180169163,0.7780504151762694,False,0.013352036610738208,29.15,29.15,Igual
Serum C16:0 (palmitic acid),3_3,18943.5,0.4838387118645957,0.6327121616690867,False,0.024593558128774517,29.22,29.15,Maior
Serum C16:0 (palmitic acid),3_4,1975.5,0.4263102169131777,0.6327121616690867,False,0.02796886545133431,29.185,29.15,Maior
Serum C16:0 (palmitic acid),4_0,33131.0,0.15627401811529737,0.3795226154228651,False,-0.049784397436735336,28.94,29.15,Menor
Serum C16:0 (palmitic acid),4_1,7254.5,0.8175735453607107,0.8175735453607107,False,-0.008116321866905205,28.42,29.15,Menor
Serum C16:0 (palmitic acid),4_2,12199.0,0.07945056330548454,0.3376648940483093,False,0.061594454556988,29.22,29.15,Maior
Serum C16:0 (palmitic acid),4_3,12258.0,0.14581843756757085,0.3795226154228651,False,0.05108139275790518,29.13,29.15,Menor
Serum C16:1 (palmitoleic acid),0_0,8181.5,0.16354008609344617,0.27801814635885846,False,-0.04889076831437666,0.4,0.42,Menor
Serum C16:1 (palmitoleic acid),0_1,22823.5,1.0086283634177368e-05,0.00017146682178101525,True,-0.15489692328243382,0.4,0.45,Menor
Serum C16:1 (palmitoleic acid),0_3,7419.0,0.6605745020980007,0.8021261811190009,False,-0.015421348551263533,0.405,0.42,Menor
Serum C16:1 (palmitoleic acid),1_1,25024.0,0.8130061361536547,0.9214069543074753,False,-0.008307625026578822,0.42,0.42,Igual
Serum C16:1 (palmitoleic acid),1_3,40723.5,0.4259119049792983,0.5956891585582438,False,-0.02793812854221481,0.42,0.42,Igual
Serum C16:1 (palmitoleic acid),1_4,9356.0,0.0009037072781182408,0.007681511864005047,True,-0.11643948981126853,0.37,0.42,Menor
Serum C16:1 (palmitoleic acid),2_1,10882.0,0.9844752835377284,0.9844752835377284,False,-0.0006971266292374074,0.45,0.42,Maior
Serum C16:1 (palmitoleic acid),2_3,8330.0,0.0295779800669581,0.07183223730546967,False,0.07634208472385508,0.53,0.42,Maior
Serum C16:1 (palmitoleic acid),2_4,24696.0,0.0017698869180429488,0.010029359202243376,True,0.1096827203031594,0.45,0.42,Maior
Serum C16:1 (palmitoleic acid),3_0,3806.5,0.45552700360336285,0.5956891585582438,False,-0.02620061789831489,0.4,0.42,Menor
Serum C16:1 (palmitoleic acid),3_1,43411.0,0.01728514767020539,0.05876950207869832,False,0.0835182721021132,0.47,0.42,Maior
Serum C16:1 (palmitoleic acid),3_3,17685.5,0.9103587771802114,0.9672562007539747,False,-0.003960845310079514,0.42,0.42,Igual
Serum C16:1 (palmitoleic acid),3_4,2086.0,0.30083430332620575,0.4649257415041361,False,0.03633303225071846,0.505,0.42,Maior
Serum C16:1 (palmitoleic acid),4_0,39776.0,0.1099691609974342,0.23368446711954768,False,0.05607714527273869,0.42,0.42,Igual
Serum C16:1 (palmitoleic acid),4_1,8985.0,0.13422652967771184,0.25353900050234457,False,0.052554498827174514,0.47,0.42,Maior
Serum C16:1 (palmitoleic acid),4_2,7582.5,0.027417328423741155,0.07183223730546967,False,-0.0773844308107222,0.385,0.42,Menor
Serum C16:1 (palmitoleic acid),4_3,13812.0,0.005687948742848222,0.024173782157104945,True,0.09701917305060462,0.56,0.42,Maior
Serum C18:0 (stearic acid),0_0,11659.5,0.0996927611802152,0.4236942350159146,False,0.05781904793752295,15.76,15.34,Maior
Serum C18:0 (stearic acid),0_1,39193.5,0.0004646035365783367,0.007898260121831724,True,0.122907802451167,15.76,15.34,Maior
Serum C18:0 (stearic acid),0_3,8724.0,0.4058509865252655,0.8624333463661893,False,0.029201400582658663,15.55,15.34,Maior
Serum C18:0 (stearic acid),1_1,24665.0,0.6666678376405831,0.9569165288823062,False,-0.015132424533539454,15.34,15.34,Igual
Serum C18:0 (stearic acid),1_3,42645.5,0.9933222353334628,0.9933222353334628,False,0.00030119991328709107,15.76,15.34,Maior
Serum C18:0 (stearic acid),1_4,12608.5,0.3520234225444542,0.8549140261793887,False,-0.03268906066240721,15.184999999999999,15.34,Menor
Serum C18:0 (stearic acid),2_1,10024.0,0.4658369913820398,0.8778322431308302,False,-0.025619403624474717,15.34,15.34,Igual
Serum C18:0 (stearic acid),2_3,7261.0,0.3111665841952792,0.8549140261793887,False,0.03557800451915924,15.965,15.34,Maior
Serum C18:0 (stearic acid),2_4,16338.5,0.04241832824163225,0.3605557900538741,False,-0.07126345714130461,14.67,15.34,Menor
Serum C18:0 (stearic acid),3_0,3245.5,0.1393782359386111,0.4738860021912777,False,-0.051919859614770976,14.92,15.34,Menor
Serum C18:0 (stearic acid),3_1,36575.5,0.5163719077240178,0.8778322431308302,False,-0.02279255638093983,15.34,15.34,Igual
Serum C18:0 (stearic acid),3_3,15045.5,0.0688801323755247,0.3903207501279733,False,-0.06388423567460626,15.03,15.34,Menor
Serum C18:0 (stearic acid),3_4,1446.5,0.7317596985570576,0.9569165288823062,False,-0.012073163841644986,15.004999999999999,15.34,Menor
Serum C18:0 (stearic acid),4_0,36426.0,0.9386958091948712,0.9933222353334628,False,0.0027082712205584026,15.03,15.34,Menor
Serum C18:0 (stearic acid),4_1,7594.5,0.9141192079439213,0.9933222353334628,False,0.0038039780672104303,15.97,15.34,Maior
Serum C18:0 (stearic acid),4_2,10582.0,0.7133125954799486,0.9569165288823062,False,0.012914966278078128,15.34,15.34,Igual
Serum C18:0 (stearic acid),4_3,10693.0,0.8911760846201698,0.9933222353334628,False,0.0048184415622329535,15.34,15.34,Igual
Serum C18:1 n-9 (oleic acid),0_0,9475.5,0.7938742891786279,0.7938742891786279,False,-0.009189071295987328,7.82,8.32,Menor
Serum C18:1 n-9 (oleic acid),0_1,26201.5,0.005456966082765112,0.013252631915286701,True,-0.0975710611243334,7.82,8.32,Menor
Serum C18:1 n-9 (oleic acid),0_3,9336.0,0.15351094938580262,0.2372441945053313,False,0.0501279312109808,8.280000000000001,8.32,Menor
Serum C18:1 n-9 (oleic acid),1_1,23806.0,0.3703416257510094,0.48429289521285845,False,-0.031462515832924365,8.32,8.32,Igual
Serum C18:1 n-9 (oleic acid),1_3,35628.5,0.003415582024947064,0.00967748240401668,True,-0.10279732650307964,7.82,8.32,Menor
Serum C18:1 n-9 (oleic acid),1_4,8763.5,0.00017644321667658786,0.0014997673417509968,True,-0.13169610142408955,7.68,8.32,Menor
Serum C18:1 n-9 (oleic acid),2_1,9398.0,0.21233807872984922,0.30081227820061973,False,-0.043802789870417094,8.32,8.32,Igual
Serum C18:1 n-9 (oleic acid),2_3,8021.0,0.06603231681759446,0.11835261990694229,False,0.06455901570304029,9.76,8.32,Maior
Serum C18:1 n-9 (oleic acid),2_4,15791.5,0.017947493076975955,0.038138422788573906,True,-0.0831064196375202,7.82,8.32,Menor
Serum C18:1 n-9 (oleic acid),3_0,3918.5,0.548946305741211,0.5832554498500366,False,-0.021065938625154317,8.24,8.32,Menor
Serum C18:1 n-9 (oleic acid),3_1,44967.5,0.0021549922439230086,0.007326973629338229,True,0.10772612881104042,8.36,8.24,Maior
Serum C18:1 n-9 (oleic acid),3_3,19030.5,0.44941782909407224,0.5457216496142306,False,0.026568306220332783,8.32,8.32,Igual
Serum C18:1 n-9 (oleic acid),3_4,1923.5,0.4943443421637588,0.5602569211189267,False,0.024032786957506477,8.875,8.32,Maior
Serum C18:1 n-9 (oleic acid),4_0,48165.0,6.539705279784907e-08,1.1117498975634342e-06,True,0.18972236450370594,9.43,8.24,Maior
Serum C18:1 n-9 (oleic acid),4_1,9303.5,0.06961918818055429,0.11835261990694229,False,0.06372101508898578,8.41,8.32,Maior
Serum C18:1 n-9 (oleic acid),4_2,6523.0,0.0018578689279480335,0.007326973629338229,True,-0.10928048389143032,7.75,8.32,Menor
Serum C18:1 n-9 (oleic acid),4_3,14467.0,0.0009186642791550532,0.0052057642485453005,True,0.11638162227307447,9.43,8.32,Maior
Serum total C18:1,0_0,9400.5,0.7438023737989437,0.7438023737989437,False,-0.011490174291643588,9.7,10.0,Menor
Serum total C18:1,0_1,27155.5,0.02046926446794421,0.043497186994381445,True,-0.08138134161609546,9.7,10.0,Menor
Serum total C18:1,0_3,9873.0,0.0511499717196549,0.09661661324823703,False,0.06848993602700855,10.62,10.0,Maior
Serum total C18:1,1_1,23616.0,0.3179353604099038,0.38606436621202606,False,-0.035074526714045595,9.9,10.0,Menor
Serum total C18:1,1_3,34463.5,0.0006374741631764256,0.003612353591333078,True,-0.11991429718500456,9.7,10.0,Menor
Serum total C18:1,1_4,9564.5,0.0015609318230248468,0.005307168198284479,True,-0.11107070749688341,9.7,10.0,Menor
Serum total C18:1,2_1,9345.0,0.19670047905407695,0.25722370337840833,False,-0.04534227784331637,10.09,10.0,Maior
Serum total C18:1,2_3,7748.0,0.12314598713261606,0.20023997043165645,False,0.05414873142251459,11.91,10.0,Maior
Serum total C18:1,2_4,15336.5,0.008114333816720727,0.01970623926917891,True,-0.09295751275594451,9.37,10.0,Menor
Serum total C18:1,3_0,4044.5,0.663696602743697,0.7438023737989437,False,-0.01528942444284867,10.28,10.0,Maior
Serum total C18:1,3_1,45245.5,0.0014171186233915734,0.005307168198284479,True,0.11204979354928762,10.12,10.0,Maior
Serum total C18:1,3_3,19910.5,0.18507444652918725,0.25722370337840833,False,0.04654276967517503,10.41,10.0,Maior
Serum total C18:1,3_4,1780.5,0.7075682834191104,0.7438023737989437,False,0.013208571099479939,10.58,10.0,Maior
Serum total C18:1,4_0,48409.0,3.505852674463461e-08,5.959949546587883e-07,True,0.19360953025556624,11.26,9.9,Maior
Serum total C18:1,4_1,9004.5,0.12956703969107183,0.20023997043165645,False,0.05323816308810174,10.62,10.0,Maior
Serum total C18:1,4_2,6009.0,0.0003811812890683506,0.00324004095708098,True,-0.12475435957192485,9.17,10.0,Menor
Serum total C18:1,4_3,13875.0,0.0048642663657321485,0.013782088036241086,True,0.09888151549490325,11.26,10.0,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",0_0,11637.5,0.10371159088351384,0.35261940900394706,False,0.05714405772546378,23.24,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",0_1,41116.5,9.430070722550586e-06,0.00016031120228335996,True,0.15554179680582275,23.33,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",0_3,9075.0,0.24077441984379644,0.5116456421680674,False,0.04120338138419635,22.4,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",1_1,23134.0,0.20778125024240268,0.5046116077315494,False,-0.0442376280019426,20.81,20.98,Menor
"Serum C18:2 n-6 (linoleic acid, LA)",1_3,39017.5,0.13118956346488017,0.3717037631504938,False,-0.053003838399179555,20.81,20.98,Menor
"Serum C18:2 n-6 (linoleic acid, LA)",1_4,12795.5,0.42747038761049183,0.6292987051942132,False,-0.027873893790512645,20.81,20.98,Menor
"Serum C18:2 n-6 (linoleic acid, LA)",2_1,12150.0,0.30359548248595436,0.5734581335845804,False,0.03613439694880561,21.86,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",2_3,5679.0,0.4812284216191042,0.6292987051942132,False,-0.024748258234656317,21.42,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",2_4,14398.5,0.0012566854016493347,0.010681825914019345,True,-0.11326592010777307,20.13,20.98,Menor
"Serum C18:2 n-6 (linoleic acid, LA)",3_0,4940.5,0.4630510218174917,0.6292987051942132,False,0.025788009742435912,23.22,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",3_1,37344.5,0.7578497065278798,0.8052153131858723,False,-0.01083249097190351,20.98,20.98,Igual
"Serum C18:2 n-6 (linoleic acid, LA)",3_3,18351.5,0.7509222737788763,0.8052153131858723,False,0.011156191804607914,20.98,20.98,Igual
"Serum C18:2 n-6 (linoleic acid, LA)",3_4,1574.5,0.9467151069254386,0.9467151069254386,False,-0.0023843552414533984,21.42,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",4_0,35262.0,0.6521394332412402,0.7918835975072204,False,-0.015835421136676776,22.4,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",4_1,8374.5,0.3752298116729009,0.6292987051942132,False,0.03115054850429924,22.4,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",4_2,12076.0,0.09926682668105402,0.35261940900394706,False,0.05789156212760895,23.22,20.98,Maior
"Serum C18:2 n-6 (linoleic acid, LA)",4_3,7818.0,0.022434136841966986,0.12712677543781292,False,-0.08016940807837895,20.33,20.98,Menor
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0_0,10863.0,0.3404299394054513,0.4323390188091577,False,0.03338133412365347,0.23,0.16,Maior
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0_1,40947.0,1.2909526718954962e-05,0.00021946195422223436,True,0.15266532148439052,0.23,0.16,Maior
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0_3,8118.5,0.808557680523032,0.8483570590345818,False,0.00849712885806871,0.21500000000000002,0.16,Maior
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",1_1,21781.0,0.04565601671800727,0.09701903552576545,False,-0.0699589475922427,0.15,0.16,Menor
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",1_3,42169.0,0.8483570590345818,0.8483570590345818,False,-0.006699861485800659,0.16,0.16,Igual
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",1_4,9707.0,0.002153164881483113,0.01220126766173764,True,-0.10740139584316698,0.15,0.16,Menor
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",2_1,15412.0,0.00018462202012417637,0.0015692871710554991,True,0.13088552463932324,0.28,0.16,Maior
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",2_3,8572.0,0.014512362274674838,0.04111835977824537,True,0.08557024881135404,0.28500000000000003,0.16,Maior
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",2_4,21451.5,0.2599707926366991,0.3682919562353237,False,0.039436848604856856,0.16499999999999998,0.16,Maior
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",3_0,3454.5,0.22665903368890217,0.3502912338828488,False,-0.042338181328248126,0.14,0.16,Menor
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",3_1,38504.5,0.8369931471210159,0.8483570590345818,False,0.007208700022221503,0.16,0.16,Igual
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",3_3,19757.0,0.21872568682431592,0.3502912338828488,False,0.04305858769754062,0.18,0.16,Maior
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",3_4,2288.5,0.14022566824793703,0.26487070669054774,False,0.05166103023149031,0.28,0.16,Maior
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",4_0,29752.5,0.0030765169284620174,0.013075196945963574,True,-0.10360730519353864,0.16,0.16,Igual
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",4_1,5134.0,0.01849698543808896,0.04492125034964462,True,-0.08246042777952933,0.15,0.16,Menor
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",4_2,9079.5,0.35604389784283574,0.4323390188091577,False,-0.032317520511694335,0.15000000000000002,0.16,Menor
"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",4_3,7414.5,0.00851506398080593,0.02895121753474016,True,-0.09209726801924396,0.15,0.16,Menor
Serum C20:1 n-9,0_0,8212.5,0.1679724402923184,0.4079330692813447,False,-0.047939645742838745,0.12,0.14,Menor
Serum C20:1 n-9,0_1,28076.0,0.05854057566196056,0.3145389603911173,False,-0.06576012902979249,0.13,0.14,Menor
Serum C20:1 n-9,0_3,7256.5,0.5464919984549397,0.766979504152077,False,-0.02097782114456802,0.125,0.14,Menor
Serum C20:1 n-9,1_1,26388.5,0.6121578329237876,0.766979504152077,False,0.01763231627494704,0.15,0.14,Maior
Serum C20:1 n-9,1_3,42287.0,0.886558284673601,0.941968177465701,False,-0.004966125399562769,0.15,0.14,Maior
Serum C20:1 n-9,1_4,17877.5,0.0030520673583738236,0.051885145092355,False,0.1029853470809749,0.15,0.14,Maior
Serum C20:1 n-9,2_1,11697.5,0.508607871495379,0.766979504152077,False,0.022990655293391993,0.14,0.14,Igual
Serum C20:1 n-9,2_3,4699.0,0.07400916715085112,0.3145389603911173,False,-0.062118509498081884,0.125,0.14,Menor
Serum C20:1 n-9,2_4,19907.5,0.8630154848660394,0.941968177465701,False,0.006008084264533505,0.14,0.14,Igual
Serum C20:1 n-9,3_0,5525.5,0.13032489548332843,0.4079330692813447,False,0.052607539874569266,0.14,0.14,Igual
Serum C20:1 n-9,3_1,39113.0,0.6316301798899457,0.766979504152077,False,0.01667254891870863,0.14,0.14,Igual
Serum C20:1 n-9,3_3,21761.0,0.01086299093783623,0.09233542297160796,False,0.08854588856515865,0.15,0.14,Maior
Serum C20:1 n-9,3_4,1148.0,0.31911502170565786,0.678119421124523,False,-0.034667768272560524,0.135,0.14,Menor
Serum C20:1 n-9,4_0,33172.5,0.15765219180849455,0.4079330692813447,False,-0.04912326063877549,0.14,0.14,Igual
Serum C20:1 n-9,4_1,8063.5,0.5605755352665823,0.766979504152077,False,0.020246980035152292,0.15,0.14,Maior
Serum C20:1 n-9,4_2,10177.5,0.9834161595643081,0.9834161595643081,False,0.000737568004225907,0.14500000000000002,0.14,Maior
Serum C20:1 n-9,4_3,9480.5,0.3723282851408741,0.7032867608216511,False,-0.031024260242720765,0.14,0.14,Igual
Serum C20:2 n-6,0_0,10660.5,0.437628097982082,0.6199731388079495,False,0.02716835603538157,0.3,0.3,Igual
Serum C20:2 n-6,0_1,34504.0,0.21561640324192333,0.5860663024263991,False,0.04332531855820909,0.3,0.31,Menor
Serum C20:2 n-6,0_3,9081.0,0.23671836549719905,0.5860663024263991,False,0.041408543449179915,0.335,0.3,Maior
Serum C20:2 n-6,1_1,23827.5,0.37484110094032663,0.5860663024263991,False,-0.031053788285850124,0.3,0.3,Igual
Serum C20:2 n-6,1_3,33626.5,0.00015730372504632825,0.0026741633257875803,True,-0.13221206925433604,0.29,0.31,Menor
Serum C20:2 n-6,1_4,13242.0,0.6399404793526595,0.7770705820710866,False,-0.016376717275534452,0.3,0.3,Igual
Serum C20:2 n-6,2_1,11965.5,0.3792193721582583,0.5860663024263991,False,0.030775235986543043,0.305,0.3,Maior
Serum C20:2 n-6,2_3,6040.0,0.7539784102373486,0.8403931798177294,False,-0.01098227792231282,0.3,0.3,Igual
Serum C20:2 n-6,2_4,15730.0,0.01580184257135793,0.08954377457102826,False,-0.08443794101506548,0.29,0.31,Menor
Serum C20:2 n-6,3_0,6237.0,0.014864779240897626,0.08954377457102826,False,0.08522650686433486,0.33,0.3,Maior
Serum C20:2 n-6,3_1,40401.0,0.29416706471857246,0.5860663024263991,False,0.03670449202253019,0.31,0.3,Maior
Serum C20:2 n-6,3_3,19338.5,0.3375515013700061,0.5860663024263991,False,0.03355936842952757,0.31,0.3,Maior
Serum C20:2 n-6,3_4,1483.0,0.7909582868872748,0.8403931798177294,False,-0.009310339514246604,0.3,0.3,Igual
Serum C20:2 n-6,4_0,39794.0,0.10717780129260568,0.45550565549357414,False,0.05636390340197428,0.33,0.3,Maior
Serum C20:2 n-6,4_1,7539.5,0.9576378258675188,0.9576378258675188,False,0.0018756942543387836,0.35,0.3,Maior
Serum C20:2 n-6,4_2,11337.5,0.3082344486956319,0.5860663024263991,False,0.03565915514308518,0.31,0.3,Maior
Serum C20:2 n-6,4_3,9885.0,0.5860092352807686,0.7663197692133129,False,-0.01906683931067641,0.33,0.3,Maior
Serum C20:3 n-6,0_0,12956.5,0.005428939922717469,0.04203170681953462,True,0.09761278907573852,3.46,2.91,Maior
Serum C20:3 n-6,0_1,36919.5,0.016312918356345185,0.06932990301446704,False,0.08431721318310297,2.91,2.91,Igual
Serum C20:3 n-6,0_3,8698.0,0.4201893458303153,0.47621459194102406,False,0.028312364967729944,3.245,2.91,Maior
Serum C20:3 n-6,1_1,22794.0,0.14870056605947282,0.28087884700122645,False,-0.05070122642079111,2.65,2.91,Menor
Serum C20:3 n-6,1_3,38955.5,0.12460023210551585,0.26796253509124024,False,-0.053914784478389294,2.65,2.91,Menor
Serum C20:3 n-6,1_4,9252.5,0.0006919310228252594,0.011762827388029409,True,-0.11910456880186258,2.65,2.91,Menor
Serum C20:3 n-6,2_1,10871.0,0.9772242954145974,0.9772242954145974,False,-0.001016643000971219,3.24,2.91,Maior
Serum C20:3 n-6,2_3,7142.0,0.37683195390055035,0.45758165830781117,False,0.0310401882943147,3.46,2.91,Maior
Serum C20:3 n-6,2_4,17149.5,0.12610001651352482,0.26796253509124024,False,-0.05370469556099228,3.09,2.91,Maior
Serum C20:3 n-6,3_0,5425.5,0.17148257278711976,0.2915203737381036,False,0.04802300480924732,3.46,2.91,Maior
Serum C20:3 n-6,3_1,33776.5,0.05885472235238664,0.16675504666509547,False,-0.06632470602969492,2.65,2.91,Menor
Serum C20:3 n-6,3_3,15872.5,0.19883528211075152,0.3072908905347978,False,-0.045112779677839734,2.65,2.91,Menor
Serum C20:3 n-6,3_4,1915.5,0.5051994637154953,0.5367744301977138,False,0.023427236419994505,3.275,2.91,Maior
Serum C20:3 n-6,4_0,42156.0,0.007417360026976699,0.04203170681953462,True,0.09399294236055632,3.03,2.91,Maior
Serum C20:3 n-6,4_1,6518.5,0.3341233835478533,0.43693057848565436,False,-0.033920265253696694,2.55,2.91,Menor
Serum C20:3 n-6,4_2,11402.0,0.2842733453447799,0.40272057257177146,False,0.037600915807271755,2.91,2.91,Igual
Serum C20:3 n-6,4_3,13167.0,0.02639621328550324,0.08974712517071101,False,0.07795233373992821,3.46,2.91,Maior
Serum C20:4 n-6,0_0,9356.5,0.7149084808320949,0.8090032602197164,False,-0.012840154715761928,8.76,8.76,Igual
Serum C20:4 n-6,0_1,28556.5,0.10090776636304906,0.34308640563436676,False,-0.057605873030098224,8.76,8.76,Igual
Serum C20:4 n-6,0_3,6128.0,0.08987953206793696,0.34308640563436676,False,-0.05956538620022411,8.19,8.76,Menor
Serum C20:4 n-6,1_1,26551.0,0.5552491072922756,0.8082353956642564,False,0.02072153610748493,9.0,8.76,Maior
Serum C20:4 n-6,1_3,45994.5,0.1585895158117332,0.44933696146657737,False,0.049506980869309915,8.76,8.76,Igual
Serum C20:4 n-6,1_4,14292.5,0.7614148331479683,0.8090032602197164,False,0.010673190740108538,8.715,8.76,Menor
Serum C20:4 n-6,2_1,11572.0,0.5819275326194908,0.8082353956642564,False,0.019345263961338056,9.165,8.76,Maior
Serum C20:4 n-6,2_3,6118.0,0.8200073899459185,0.8200073899459185,False,-0.008007910985019764,8.76,8.76,Igual
Serum C20:4 n-6,2_4,27505.5,1.1971275776011369e-06,2.0351168819219328e-05,True,0.17051051396516617,11.76,8.76,Maior
Serum C20:4 n-6,3_0,4646.5,0.7263827310881086,0.8090032602197164,False,0.012309476650389409,9.0,8.76,Maior
Serum C20:4 n-6,3_1,36504.5,0.49625194777056447,0.8082353956642564,False,-0.023896801691787137,9.0,8.76,Maior
Serum C20:4 n-6,3_3,18829.5,0.5310245944529222,0.8082353956642564,False,0.022005957181215407,9.0,8.76,Maior
Serum C20:4 n-6,3_4,2211.5,0.192127805680946,0.4665960995108689,False,0.04583260630793755,10.23,8.76,Maior
Serum C20:4 n-6,4_0,30551.0,0.009643200297160554,0.08196720252586472,False,-0.09088639596050403,8.37,8.76,Menor
Serum C20:4 n-6,4_1,5731.5,0.07986478068480593,0.34308640563436676,False,-0.06151225363060553,8.19,8.76,Menor
Serum C20:4 n-6,4_2,10735.0,0.6180623613903137,0.8082353956642564,False,0.017521003202427672,9.0,8.76,Maior
Serum C20:4 n-6,4_3,9309.0,0.3041404499700273,0.6462984561863081,False,-0.03609397022997814,8.43,8.76,Menor
"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0_0,6085.5,0.0012656566940544647,0.01374315868618376,True,-0.11319892669965026,1.32,1.63,Menor
"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0_1,25427.5,0.00161684219837456,0.01374315868618376,True,-0.11070611657441323,1.32,1.63,Menor
