Cluster,Atributo,P_Valor_OvR,P_Valor_Global,Diferença_Percentual,Mediana_Cluster,Mediana_Resto,Direcao
0_1,Serum C16:1 (palmitoleic acid),1.0086283634177368e-05,5.111548815350944e-08,-11.111111111111107,0.4,0.45,Menor
0_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",1.2909526718954962e-05,6.383927516008434e-10,43.75000000000001,0.23,0.16,Maior
0_1,Sperm C15:0 (pentadecanoic acid),0.00012090458291291217,0.0013263594572800377,0.0,0.2,0.2,Menor
0_1,Abstinence time(days),0.00013540298294578845,2.2668177035531522e-05,-8.333333333333332,2.75,3.0,Menor
0_1,Sperm C22:0,0.0002196842322945648,0.004592204630468035,17.647058823529417,2.0,1.7,Maior
0_1,Progressive motility (%),0.00022709871540341927,2.1004393197809872e-23,16.666666666666664,35.0,30.0,Maior
0_1,Ejaculate volume (mL),0.00032479894435180823,6.489273313118119e-08,-36.58536585365853,2.6,4.1,Menor
0_1,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.00035605269193174664,0.0003005063096801873,-25.000000000000007,0.03,0.04,Menor
0_1,Serum C18:0 (stearic acid),0.0004646035365783367,0.06579558705483077,2.737940026075619,15.76,15.34,Maior
0_1,Non progressive sperm motility (%),0.000580799993777886,6.204920562895849e-09,-6.25,30.0,32.0,Menor
0_1,Midpiece and neck defects (%),0.0006319470234511179,0.0004501490690801563,-16.39344262295082,25.5,30.5,Menor
0_1,Serum total testosterone (nmol/L),0.001019611370622732,2.8423177346879288e-08,-34.302325581395344,11.3,17.2,Menor
0_1,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.0010692929955482718,5.612129621455496e-10,37.03703703703704,37.0,27.0,Maior
0_1,Sperm C20:3 n-6,0.0013684769324825978,1.468899460159025e-05,-5.263157894736835,1.8,1.9,Menor
0_1,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.00161684219837456,8.832832656189946e-05,-19.01840490797545,1.32,1.63,Menor
0_1,Sperm C14:0 (myristic acid),0.002618461026572061,4.213381921398163e-06,12.499999999999996,1.8,1.6,Maior
0_1,Serum C16:0 (palmitic acid),0.003463839251984068,0.03453374062732735,0.0,29.15,29.15,Menor
0_1,Serum C18:1 n-9 (oleic acid),0.005456966082765112,1.6194987925187047e-13,-6.009615384615384,7.82,8.32,Menor
0_1,Sperm C24:0,0.012343407161939792,1.8169040486658746e-05,-14.285714285714283,1.2,1.4,Menor
0_1,Serum C20:3 n-6,0.016312918356345185,1.949866077174812e-05,0.0,2.91,2.91,Menor
0_1,Serum total C18:1,0.02046926446794421,1.412847395299683e-13,-3.000000000000007,9.7,10.0,Menor
0_1,Sperm C16:1 n-7 (palmitoleic acid),0.0295028293692961,0.0004712094859810273,7.692307692307682,1.4,1.3,Maior
0_1,Body mass index (kg/m²),0.0300292786079051,5.809263886190327e-12,16.382252559726965,34.1,29.3,Maior
0_1,Sperm C18:0 (stearic acid),0.03480768276896028,7.466199427066895e-06,-5.681818181818182,8.3,8.8,Menor
0_3,Abstinence time(days),0.014319995366924397,2.2668177035531522e-05,-16.666666666666664,2.5,3.0,Menor
0_3,Sperm C15:0 (pentadecanoic acid),0.022798021843378948,0.0013263594572800377,0.0,0.2,0.2,Menor
0_3,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.026107848829274055,9.842683729154253e-09,0.0,3.7,3.7,Menor
0_3,Cytoplasmic droplet (%),0.043011505800014616,0.04297498464083097,40.0,7.0,5.0,Maior
0_3,Sperm C22:0,0.048198835190975516,0.004592204630468035,17.647058823529417,2.0,1.7,Maior
1_1,Sperm C20:0,0.025679626248355535,1.1205455129325433e-08,16.666666666666664,0.7,0.6,Maior
1_1,Sperm C24:1 n-9,0.02980821787063227,8.45383179623616e-08,0.0,1.7,1.7,Menor
1_1,Body mass index (kg/m²),0.030618443842943384,5.809263886190327e-12,5.641025641025636,30.9,29.25,Maior
1_1,Abstinence time(days),0.04355323419164496,2.2668177035531522e-05,0.0,3.0,3.0,Menor
1_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.04565601671800727,6.383927516008434e-10,-6.250000000000005,0.15,0.16,Menor
1_3,Progressive motility (%),2.5994188035288744e-06,2.1004393197809872e-23,26.923076923076923,33.0,26.0,Maior
1_3,Immotile sperm (%),4.863643319867521e-06,3.645640842338557e-24,-5.128205128205128,37.0,39.0,Menor
1_3,Sperm C18:1 n-7 to n-11,1.402643493271715e-05,3.2904811597233125e-17,-4.1666666666666705,2.3,2.4,Menor
1_3,Sperm C24:1 n-9,7.62481436031584e-05,8.45383179623616e-08,0.0,1.7,1.7,Menor
1_3,Body mass index (kg/m²),9.617525798122547e-05,5.809263886190327e-12,8.561643835616438,31.7,29.2,Maior
1_3,Serum C20:2 n-6,0.00015730372504632825,0.008525331303473122,-6.451612903225811,0.29,0.31,Menor
1_3,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.00020498914264231827,1.8377767887104445e-05,14.285714285714276,0.08,0.07,Maior
1_3,Serum total C18:1,0.0006374741631764256,1.412847395299683e-13,-3.000000000000007,9.7,10.0,Menor
1_3,Sperm C20:4 n-6 and C22:1 n-9 combined,0.0014424591829214901,1.1436612798312741e-05,4.1666666666666705,2.5,2.4,Maior
1_3,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.003106887218266774,2.3757901665252952e-05,-17.24137931034483,24.0,29.0,Menor
1_3,Serum C18:1 n-9 (oleic acid),0.003415582024947064,1.6194987925187047e-13,-6.009615384615384,7.82,8.32,Menor
1_3,Serum total testosterone (nmol/L),0.004895772901245254,2.8423177346879288e-08,-25.581395348837205,12.8,17.2,Menor
1_3,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.005908741973600462,9.842683729154253e-09,-2.702702702702705,3.6,3.7,Menor
1_3,Sperm C20:2 n-6,0.00934268495589738,0.019061366457242372,0.0,0.5,0.5,Menor
1_3,Sperm C20:0,0.010448019843876322,1.1205455129325433e-08,0.0,0.6,0.6,Menor
1_3,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",0.026697959267421932,1.298353970059864e-06,0.0,5.92,5.92,Menor
1_3,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.046609327285092206,8.832832656189946e-05,31.90184049079755,2.15,1.63,Maior
1_4,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",1.7472527754913764e-05,1.298353970059864e-06,42.56756756756756,8.44,5.92,Maior
1_4,"Serum anti-Müllerian hormone, AMH (pmol/L)",8.232668865977855e-05,0.0010930916772443975,-20.0,24.0,30.0,Menor
1_4,Body mass index (kg/m²),0.00011702376202671909,5.809263886190327e-12,8.561643835616438,31.7,29.2,Maior
1_4,Serum C18:1 n-9 (oleic acid),0.00017644321667658786,1.6194987925187047e-13,-7.692307692307699,7.68,8.32,Menor
1_4,Sperm C24:1 n-9,0.0005614756996899354,8.45383179623616e-08,23.52941176470589,2.1,1.7,Maior
1_4,Serum C20:3 n-6,0.0006919310228252594,1.949866077174812e-05,-8.934707903780076,2.65,2.91,Menor
1_4,Serum C16:1 (palmitoleic acid),0.0009037072781182408,5.111548815350944e-08,-11.904761904761903,0.37,0.42,Menor
1_4,Serum total C18:1,0.0015609318230248468,1.412847395299683e-13,-3.000000000000007,9.7,10.0,Menor
1_4,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.0016980015218289813,0.00023450548079693526,-20.149253731343286,16.05,20.1,Menor
1_4,Serum C14:0 (myristic acid),0.0018702638551657208,0.0007641607727424369,0.0,0.26,0.26,Menor
1_4,Sperm C20:1 n-9,0.0019867135406794892,0.07774174420980987,24.999999999999993,0.5,0.4,Maior
1_4,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.002153164881483113,6.383927516008434e-10,-6.250000000000005,0.15,0.16,Menor
1_4,Serum C20:1 n-9,0.0030520673583738236,0.024714725305972966,7.142857142857128,0.15,0.14,Maior
1_4,Immotile sperm (%),0.005940139053117216,3.645640842338557e-24,-25.64102564102564,29.0,39.0,Menor
1_4,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.007049978469229866,8.832832656189946e-05,31.90184049079755,2.15,1.63,Maior
1_4,Sperm C20:0,0.007562260689029133,1.1205455129325433e-08,50.000000000000014,0.9,0.6,Maior
1_4,Tail defects (%),0.010699387804925149,0.0025996364952000947,36.666666666666664,20.5,15.0,Maior
1_4,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.023857939703660725,0.0003005063096801873,25.000000000000007,0.05,0.04,Maior
1_4,Sperm C18:1 n-9 (oleic acid),0.024546065204649473,0.027303533707846456,42.424242424242436,18.8,13.2,Maior
1_4,Sperm C24:0,0.026224966315316737,1.8169040486658746e-05,37.5,1.65,1.2,Maior
1_4,Age (years),0.028226169429569858,3.0808556681258097e-09,17.142857142857142,41.0,35.0,Maior
1_4,"Serum C22:5 n-3 (docosapentaenoic acid, DPA)",0.028845278532810506,0.08174569621217004,8.000000000000007,1.35,1.25,Maior
1_4,Serum oestradiol (nmol/L),0.03525239608677617,0.01938932728442594,0.0,0.14,0.14,Menor
1_4,Sperm C18:1 trans n-6 to n-11,0.04226231447466169,0.30085120485608674,18.181818181818176,1.3,1.1,Maior
1_4,Progressive motility (%),0.0436765023045944,2.1004393197809872e-23,10.0,33.0,30.0,Maior
2_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.00018462202012417637,6.383927516008434e-10,75.00000000000001,0.28,0.16,Maior
2_1,Immotile sperm (%),0.0003233913412863258,3.645640842338557e-24,-12.82051282051282,34.0,39.0,Menor
2_1,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.0005421250132994625,9.842683729154253e-09,-5.40540540540541,3.5,3.7,Menor
2_1,Sperm C20:0,0.0006463821693014454,1.1205455129325433e-08,-16.666666666666664,0.5,0.6,Menor
2_1,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.000834821916222097,0.00023450548079693526,24.37810945273631,25.0,20.1,Maior
2_1,"DNA fragmentation index, DFI (%)",0.0008864342422437451,4.703045746122669e-08,-42.10526315789473,11.0,19.0,Menor
2_1,Sperm C18:1 n-7 to n-11,0.0015883282678796661,3.2904811597233125e-17,-4.1666666666666705,2.3,2.4,Menor
2_1,Total sperm count (x10⁶),0.003983889887512607,1.9182407817448182e-11,57.16385011021309,213.9,136.1,Maior
2_1,Ejaculate volume (mL),0.004134771944719939,6.489273313118119e-08,77.77777777777779,6.4,3.6,Maior
2_1,Sperm C24:0,0.007294596545681017,1.8169040486658746e-05,-14.285714285714283,1.2,1.4,Menor
2_1,Age (years),0.009339946673390496,3.0808556681258097e-09,-11.428571428571429,31.0,35.0,Menor
2_1,"Serum follicle-stimulating hormone, FSH (IU/L)",0.013595960457693016,0.003953647679577709,-1.7094017094017109,4.6,4.68,Menor
2_1,Sperm C14:0 (myristic acid),0.01884765726161034,4.213381921398163e-06,-23.529411764705877,1.3,1.7,Menor
2_1,"Serum C22:5 n-3 (docosapentaenoic acid, DPA)",0.028079483471760015,0.08174569621217004,-5.600000000000005,1.18,1.25,Menor
2_1,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.031396246998569174,5.612129621455496e-10,-39.285714285714285,17.0,28.0,Menor
2_1,Sperm C18:1 n-9 (oleic acid),0.04282675041672261,0.027303533707846456,-17.42424242424242,10.9,13.2,Menor
2_1,"Serum Luteinizing hormone, LH (IU/L)",0.04356558306837264,5.560692483345355e-08,-1.1904761904761862,4.15,4.2,Menor
2_3,Progressive motility (%),0.00010773562563640736,2.1004393197809872e-23,26.666666666666668,38.0,30.0,Maior
2_3,Sperm C18:1 n-7 to n-11,0.0038442227142750996,3.2904811597233125e-17,-12.499999999999993,2.1,2.4,Menor
2_3,Immotile sperm (%),0.004888397247933198,3.645640842338557e-24,-20.51282051282051,31.0,39.0,Menor
2_3,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",0.006780227056324862,1.298353970059864e-06,-17.9054054054054,4.86,5.92,Menor
2_3,Serum oestradiol (nmol/L),0.011184175800872786,0.01938932728442594,7.142857142857128,0.15,0.14,Maior
2_3,Sperm C20:4 n-6 and C22:1 n-9 combined,0.013972133829363385,1.1436612798312741e-05,1.9999999999999927,2.55,2.5,Maior
2_3,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.014512362274674838,6.383927516008434e-10,78.12500000000001,0.28500000000000003,0.16,Maior
2_3,Serum inhibin B (ng/L),0.01871102535342913,0.0019954526127275926,-23.376623376623375,118.0,154.0,Menor
2_3,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.022214645988735883,1.8377767887104445e-05,14.285714285714276,0.08,0.07,Maior
2_3,Serum C14:0 (myristic acid),0.025686967440866272,0.0007641607727424369,3.8461538461538494,0.27,0.26,Maior
2_3,Serum C16:1 (palmitoleic acid),0.0295779800669581,5.111548815350944e-08,26.190476190476204,0.53,0.42,Maior
2_3,Sperm C14:0 (myristic acid),0.04581753790133232,4.213381921398163e-06,-23.529411764705877,1.3,1.7,Menor
2_3,Sperm C18:0 (stearic acid),0.04884866664096597,7.466199427066895e-06,5.74712643678161,9.2,8.7,Maior
2_4,Immotile sperm (%),9.704916085140365e-09,3.645640842338557e-24,-51.28205128205128,19.0,39.0,Menor
2_4,"Serum Luteinizing hormone, LH (IU/L)",1.929462546298374e-08,5.560692483345355e-08,-24.04761904761905,3.19,4.2,Menor
2_4,Serum C20:4 n-6,1.1971275776011369e-06,0.0004985042720978513,34.24657534246575,11.76,8.76,Maior
2_4,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),2.7333198122727163e-06,5.612129621455496e-10,-96.42857142857143,1.0,28.0,Menor
2_4,Non progressive sperm motility (%),1.621391560414579e-05,6.204920562895849e-09,35.483870967741936,42.0,31.0,Maior
2_4,Sperm C18:1 n-7 to n-11,9.209062765705176e-05,3.2904811597233125e-17,-4.1666666666666705,2.3,2.4,Menor
2_4,Sperm C14:0 (myristic acid),0.00020371545101576045,4.213381921398163e-06,-23.529411764705877,1.3,1.7,Menor
2_4,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.0002806602457039295,9.842683729154253e-09,-5.40540540540541,3.5,3.7,Menor
2_4,Ejaculate volume (mL),0.00029064778722385294,6.489273313118119e-08,77.77777777777779,6.4,3.6,Maior
2_4,"Serum follicle-stimulating hormone, FSH (IU/L)",0.0005090098018352142,0.003953647679577709,-1.7094017094017109,4.6,4.68,Menor
2_4,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.0006569795927360459,0.00023450548079693526,23.880597014925357,24.9,20.1,Maior
2_4,"DNA fragmentation index, DFI (%)",0.0007747341835835283,4.703045746122669e-08,-47.368421052631575,10.0,19.0,Menor
2_4,"Serum C18:2 n-6 (linoleic acid, LA)",0.0012566854016493347,0.00017680389777704445,-4.051477597712114,20.13,20.98,Menor
2_4,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.0015179929617455427,2.3757901665252952e-05,-20.689655172413794,23.0,29.0,Menor
2_4,Serum C16:1 (palmitoleic acid),0.0017698869180429488,5.111548815350944e-08,7.1428571428571495,0.45,0.42,Maior
2_4,Progressive motility (%),0.0037675561054255485,2.1004393197809872e-23,10.0,33.0,30.0,Maior
2_4,Sperm C16:1 n-7 (palmitoleic acid),0.008081245555627906,0.0004712094859810273,-15.38461538461538,1.1,1.3,Menor
2_4,Serum total C18:1,0.008114333816720727,1.412847395299683e-13,-6.300000000000009,9.37,10.0,Menor
2_4,Age (years),0.010418263264258064,3.0808556681258097e-09,-11.428571428571429,31.0,35.0,Menor
2_4,Serum C20:2 n-6,0.01580184257135793,0.008525331303473122,-6.451612903225811,0.29,0.31,Menor
2_4,Sperm C24:0,0.016551324848292664,1.8169040486658746e-05,-14.285714285714283,1.2,1.4,Menor
2_4,Sperm C18:0 (stearic acid),0.017327190603451892,7.466199427066895e-06,1.1494252873563382,8.8,8.7,Maior
2_4,Serum total testosterone (nmol/L),0.017730434957350296,2.8423177346879288e-08,-25.581395348837205,12.8,17.2,Menor
2_4,Serum C18:1 n-9 (oleic acid),0.017947493076975955,1.6194987925187047e-13,-6.009615384615384,7.82,8.32,Menor
2_4,Head defects (%),0.021991838464914565,0.00260694714745866,-1.6393442622950762,96.0,97.6,Menor
2_4,Abstinence time(days),0.022956542266464958,2.2668177035531522e-05,16.666666666666664,3.5,3.0,Maior
2_4,Serum C16:0 (palmitic acid),0.033588855300075875,0.03453374062732735,0.2401372212692977,29.22,29.15,Maior
2_4,Sperm vitality (%),0.03713076452468865,0.006200687536134518,6.8181818181818175,94.0,88.0,Maior
2_4,Serum C18:0 (stearic acid),0.04241832824163225,0.06579558705483077,-4.367666232073011,14.67,15.34,Menor
2_4,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.04799054006050579,0.0003005063096801873,-25.000000000000007,0.03,0.04,Menor
3_0,Immotile sperm (%),0.00012850338260838397,3.645640842338557e-24,84.61538461538461,72.0,39.0,Maior
3_0,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.00021511788927155027,1.8377767887104445e-05,-28.571428571428577,0.05,0.07,Menor
3_0,Progressive motility (%),0.0002514781075845676,2.1004393197809872e-23,-63.33333333333333,11.0,30.0,Menor
3_0,Sperm C24:1 n-9,0.00038853831357192105,8.45383179623616e-08,-35.29411764705881,1.1,1.7,Menor
3_0,Sperm C20:2 n-6,0.0014169345426607541,0.019061366457242372,19.999999999999996,0.6,0.5,Maior
3_0,Sperm C20:0,0.0017551338054246773,1.1205455129325433e-08,-50.0,0.3,0.6,Menor
3_0,Sperm C24:0,0.0065698644033801035,1.8169040486658746e-05,-28.571428571428566,1.0,1.4,Menor
3_0,Non progressive sperm motility (%),0.006581350152427974,6.204920562895849e-09,-18.75,26.0,32.0,Menor
3_0,Sperm C18:1 n-7 to n-11,0.010318006492800739,3.2904811597233125e-17,13.043478260869579,2.6,2.3,Maior
3_0,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.014767241432426722,5.612129621455496e-10,150.9090909090909,69.0,27.5,Maior
3_0,Serum C20:2 n-6,0.014864779240897626,0.008525331303473122,10.000000000000009,0.33,0.3,Maior
3_0,Sperm C20:4 n-6 and C22:1 n-9 combined,0.018319109908749732,1.1436612798312741e-05,-8.000000000000007,2.3,2.5,Menor
3_0,Sperm C17:0,0.019641123791653434,5.7507270856759996e-08,-33.33333333333333,0.2,0.3,Menor
3_0,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.02359573638000173,0.00023450548079693526,23.880597014925357,24.9,20.1,Maior
3_0,Body mass index (kg/m²),0.02704498133887942,5.809263886190327e-12,-6.375838926174504,27.9,29.8,Menor
3_0,Midpiece and neck defects (%),0.03044472937166983,0.0004501490690801563,-16.39344262295082,25.5,30.5,Menor
3_0,"Serum follicle-stimulating hormone, FSH (IU/L)",0.03362319247968264,0.003953647679577709,-12.393162393162395,4.1,4.68,Menor
3_0,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.03797331087686237,9.842683729154253e-09,18.918918918918923,4.4,3.7,Maior
3_1,Serum total testosterone (nmol/L),0.00018479797320065705,2.8423177346879288e-08,12.195121951219514,18.4,16.4,Maior
3_1,"Serum Luteinizing hormone, LH (IU/L)",0.00030250276946834935,5.560692483345355e-08,21.44578313253011,5.04,4.15,Maior
3_1,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.0007124391668338186,2.3757901665252952e-05,29.166666666666668,31.0,24.0,Maior
3_1,Body mass index (kg/m²),0.0008803274339734792,5.809263886190327e-12,-3.3557046979865772,28.8,29.8,Menor
3_1,Serum total C18:1,0.0014171186233915734,1.412847395299683e-13,1.1999999999999922,10.12,10.0,Maior
3_1,Serum C18:1 n-9 (oleic acid),0.0021549922439230086,1.6194987925187047e-13,1.456310679611641,8.36,8.24,Maior
3_1,Sperm C20:3 n-6,0.007171215287769508,1.468899460159025e-05,10.526315789473696,2.1,1.9,Maior
3_1,Tail defects (%),0.010303624930594623,0.0025996364952000947,-3.3333333333333335,14.5,15.0,Menor
3_1,Normal spermatozoa (%),0.011431757743564372,0.0056809667730365,20.833333333333336,2.9,2.4,Maior
3_1,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.013764001020232779,0.0003005063096801873,0.0,0.04,0.04,Menor
3_1,Serum C16:1 (palmitoleic acid),0.01728514767020539,5.111548815350944e-08,11.904761904761903,0.47,0.42,Maior
3_1,"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",0.019181607737087773,0.18622098298222295,-9.999999999999998,0.9,1.0,Menor
3_1,"DNA fragmentation index, DFI (%)",0.02486689322932287,4.703045746122669e-08,-5.263157894736842,18.0,19.0,Menor
3_1,Teratozoospermia index,0.03141656792154061,0.0029398285206703885,-4.054054054054058,1.42,1.48,Menor
3_1,Progressive motility (%),0.032711900061978424,2.1004393197809872e-23,-26.666666666666668,22.0,30.0,Menor
3_1,"Serum C22:5 n-3 (docosapentaenoic acid, DPA)",0.03395733166693214,0.08174569621217004,-9.600000000000009,1.13,1.25,Menor
3_1,"High DNA stainability, HDS (%)",0.03448972428927305,2.5683831584647713e-08,0.0,10.0,10.0,Menor
3_1,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.040100350243561025,8.832832656189946e-05,3.680981595092028,1.69,1.63,Maior
3_1,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.04757604349698458,5.612129621455496e-10,3.7037037037037033,28.0,27.0,Maior
3_3,Serum total testosterone (nmol/L),4.781641118138918e-05,2.8423177346879288e-08,53.048780487804905,25.1,16.4,Maior
3_3,Body mass index (kg/m²),5.869492435398465e-05,5.809263886190327e-12,-3.3557046979865772,28.8,29.8,Menor
3_3,Tail defects (%),0.0005871839086683028,0.0025996364952000947,-6.666666666666667,14.0,15.0,Menor
3_3,Sperm vitality (%),0.0006346945379626083,0.006200687536134518,-3.4090909090909087,85.0,88.0,Menor
3_3,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.0012045546125203387,2.3757901665252952e-05,29.166666666666668,31.0,24.0,Maior
3_3,Sperm C20:0,0.0025050081421416066,1.1205455129325433e-08,-16.666666666666664,0.5,0.6,Menor
3_3,Abstinence time(days),0.0036034348328966223,2.2668177035531522e-05,-16.666666666666664,2.5,3.0,Menor
3_3,"DNA fragmentation index, DFI (%)",0.0073549815721331725,4.703045746122669e-08,-26.31578947368421,14.0,19.0,Menor
3_3,Serum C20:1 n-9,0.01086299093783623,0.024714725305972966,7.142857142857128,0.15,0.14,Maior
3_3,Sperm C24:1 n-9,0.012616877707535511,8.45383179623616e-08,-23.529411764705877,1.3,1.7,Menor
3_3,Sperm C20:4 n-6 and C22:1 n-9 combined,0.014377967647222538,1.1436612798312741e-05,-20.0,2.0,2.5,Menor
3_3,Serum inhibin B (ng/L),0.01799553326471619,0.0019954526127275926,11.688311688311687,172.0,154.0,Maior
3_3,Age (years),0.01850734129206736,3.0808556681258097e-09,-8.571428571428571,32.0,35.0,Menor
3_3,Sperm C16:0 (palmitic acid),0.024297760414152096,0.2144831014868631,-3.124999999999997,21.7,22.4,Menor
3_3,Serum oestradiol (nmol/L),0.03845867982808161,0.01938932728442594,7.142857142857128,0.15,0.14,Maior
3_3,Progressive motility (%),0.038809729605049546,2.1004393197809872e-23,-36.666666666666664,19.0,30.0,Menor
3_4,Serum oestradiol (nmol/L),0.044479722183763545,0.01938932728442594,21.428571428571406,0.16999999999999998,0.14,Maior
4_0,Progressive motility (%),1.7075016225140432e-14,2.1004393197809872e-23,-48.484848484848484,17.0,33.0,Menor
4_0,Sperm C18:1 n-7 to n-11,1.4517774140775778e-11,3.2904811597233125e-17,13.043478260869579,2.6,2.3,Maior
4_0,Immotile sperm (%),2.5836144274302953e-10,3.645640842338557e-24,5.128205128205128,41.0,39.0,Maior
4_0,Sperm concentration (x10⁶/mL),3.0924154570471866e-10,3.6360612533823444e-15,-32.65306122448979,19.8,29.4,Menor
4_0,Total sperm count (x10⁶),7.135755165588333e-09,1.9182407817448182e-11,-40.63188831741367,80.8,136.1,Menor
4_0,Serum total C18:1,3.505852674463461e-08,1.412847395299683e-13,13.737373737373732,11.26,9.9,Maior
4_0,Serum C18:1 n-9 (oleic acid),6.539705279784907e-08,1.6194987925187047e-13,14.441747572815528,9.43,8.24,Maior
4_0,"Sperm C18:2 n-6 (Linoleic acid, LA)",2.4961541476089537e-06,9.842683729154253e-09,22.22222222222223,4.4,3.6,Maior
4_0,"DNA fragmentation index, DFI (%)",1.2128978532511455e-05,4.703045746122669e-08,33.33333333333333,24.0,18.0,Maior
4_0,Midpiece and neck defects (%),1.3887700607534692e-05,0.0004501490690801563,2.6229508196721336,31.3,30.5,Maior
4_0,Teratozoospermia index,1.6518990082276747e-05,0.0029398285206703885,8.783783783783791,1.61,1.48,Maior
4_0,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",2.533915530502833e-05,1.298353970059864e-06,-8.783783783783777,5.4,5.92,Menor
4_0,"High DNA stainability, HDS (%)",2.6983511514336688e-05,2.5683831584647713e-08,40.0,14.0,10.0,Maior
4_0,Normal spermatozoa (%),7.240619634060264e-05,0.0056809667730365,-37.5,1.5,2.4,Menor
4_0,Sperm C20:4 n-6 and C22:1 n-9 combined,0.0001522205243566873,1.1436612798312741e-05,-8.000000000000007,2.3,2.5,Menor
4_0,Head defects (%),0.0001709437015775387,0.00260694714745866,1.4418125643666382,98.5,97.1,Maior
4_0,Body mass index (kg/m²),0.0007797644868226425,5.809263886190327e-12,-3.3557046979865772,28.8,29.8,Menor
4_0,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.0009644517189607046,5.612129621455496e-10,-75.0,7.0,28.0,Menor
