Cluster,Attribute,P-Value,Direction,Median_Cluster,Median_Rest
2_3,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",0.006780227056324862,Lower,4.86,5.92
2_3,Serum oestradiol (nmol/L),0.011184175800872786,Higher,0.15,0.14
2_3,Sperm C20:4 n-6 and C22:1 n-9 combined,0.013972133829363385,Higher,2.55,2.5
2_3,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.014512362274674838,Higher,0.28500000000000003,0.16
2_3,Serum inhibin B (ng/L),0.01871102535342913,Lower,118.0,154.0
2_3,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.022214645988735883,Higher,0.08,0.07
2_3,Serum C14:0 (myristic acid),0.025686967440866272,Higher,0.27,0.26
2_3,Serum C16:1 (palmitoleic acid),0.0295779800669581,Higher,0.53,0.42
2_3,Sperm C14:0 (myristic acid),0.04581753790133232,Lower,1.3,1.7
2_3,Sperm C18:0 (stearic acid),0.04884866664096597,Higher,9.2,8.7
2_4,Immotile sperm (%),9.704916085140365e-09,Lower,19.0,39.0
2_4,"Serum Luteinizing hormone, LH (IU/L)",1.929462546298374e-08,Lower,3.19,4.2
2_4,Serum C20:4 n-6,1.1971275776011369e-06,Higher,11.76,8.76
2_4,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),2.7333198122727163e-06,Lower,1.0,28.0
2_4,Non progressive sperm motility (%),1.621391560414579e-05,Higher,42.0,31.0
2_4,Sperm C18:1 n-7 to n-11,9.209062765705176e-05,Lower,2.3,2.4
2_4,Sperm C14:0 (myristic acid),0.00020371545101576045,Lower,1.3,1.7
2_4,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.0002806602457039295,Lower,3.5,3.7
2_4,Ejaculate volume (mL),0.00029064778722385294,Higher,6.4,3.6
2_4,"Serum follicle-stimulating hormone, FSH (IU/L)",0.0005090098018352142,Lower,4.6,4.68
2_4,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.0006569795927360459,Higher,24.9,20.1
2_4,"DNA fragmentation index, DFI (%)",0.0007747341835835283,Lower,10.0,19.0
2_4,"Serum C18:2 n-6 (linoleic acid, LA)",0.0012566854016493347,Lower,20.13,20.98
2_4,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.0015179929617455427,Lower,23.0,29.0
2_4,Serum C16:1 (palmitoleic acid),0.0017698869180429488,Higher,0.45,0.42
2_4,Progressive motility (%),0.0037675561054255485,Higher,33.0,30.0
2_4,Sperm C16:1 n-7 (palmitoleic acid),0.008081245555627906,Lower,1.1,1.3
2_4,Serum total C18:1,0.008114333816720727,Lower,9.37,10.0
2_4,Age (years),0.010418263264258064,Lower,31.0,35.0
2_4,Serum C20:2 n-6,0.01580184257135793,Lower,0.29,0.31
2_4,Sperm C24:0,0.016551324848292664,Lower,1.2,1.4
2_4,Sperm C18:0 (stearic acid),0.017327190603451892,Higher,8.8,8.7
2_4,Serum total testosterone (nmol/L),0.017730434957350296,Lower,12.8,17.2
2_4,Serum C18:1 n-9 (oleic acid),0.017947493076975955,Lower,7.82,8.32
2_4,Head defects (%),0.021991838464914565,Lower,96.0,97.6
2_4,Abstinence time(days),0.022956542266464958,Higher,3.5,3.0
2_4,Serum C16:0 (palmitic acid),0.033588855300075875,Higher,29.22,29.15
2_4,Sperm vitality (%),0.03713076452468865,Higher,94.0,88.0
2_4,Serum C18:0 (stearic acid),0.04241832824163225,Lower,14.67,15.34
2_4,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.04799054006050579,Lower,0.03,0.04
3_0,Immotile sperm (%),0.00012850338260838397,Higher,72.0,39.0
3_0,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.00021511788927155027,Lower,0.05,0.07
3_0,Progressive motility (%),0.0002514781075845676,Lower,11.0,30.0
3_0,Sperm C24:1 n-9,0.00038853831357192105,Lower,1.1,1.7
3_0,Sperm C20:2 n-6,0.0014169345426607541,Higher,0.6,0.5
3_0,Sperm C20:0,0.0017551338054246773,Lower,0.3,0.6
3_0,Sperm C24:0,0.0065698644033801035,Lower,1.0,1.4
3_0,Non progressive sperm motility (%),0.006581350152427974,Lower,26.0,32.0
3_0,Sperm C18:1 n-7 to n-11,0.010318006492800739,Higher,2.6,2.3
3_0,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.014767241432426722,Higher,69.0,27.5
3_0,Serum C20:2 n-6,0.014864779240897626,Higher,0.33,0.3
3_0,Sperm C20:4 n-6 and C22:1 n-9 combined,0.018319109908749732,Lower,2.3,2.5
3_0,Sperm C17:0,0.019641123791653434,Lower,0.2,0.3
3_0,"Sperm C22:6,n3 (docosahexaenoic acid, DHA)",0.02359573638000173,Higher,24.9,20.1
3_0,Body mass index (kg/m²),0.02704498133887942,Lower,27.9,29.8
3_0,Midpiece and neck defects (%),0.03044472937166983,Lower,25.5,30.5
3_0,"Serum follicle-stimulating hormone, FSH (IU/L)",0.03362319247968264,Lower,4.1,4.68
3_0,"Sperm C18:2 n-6 (Linoleic acid, LA)",0.03797331087686237,Higher,4.4,3.7
3_1,Serum total testosterone (nmol/L),0.00018479797320065705,Higher,18.4,16.4
3_1,"Serum Luteinizing hormone, LH (IU/L)",0.00030250276946834935,Higher,5.04,4.15
3_1,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.0007124391668338186,Higher,31.0,24.0
3_1,Body mass index (kg/m²),0.0008803274339734792,Lower,28.8,29.8
3_1,Serum total C18:1,0.0014171186233915734,Higher,10.12,10.0
3_1,Serum C18:1 n-9 (oleic acid),0.0021549922439230086,Higher,8.36,8.24
3_1,Sperm C20:3 n-6,0.007171215287769508,Higher,2.1,1.9
3_1,Tail defects (%),0.010303624930594623,Lower,14.5,15.0
3_1,Normal spermatozoa (%),0.011431757743564372,Higher,2.9,2.4
3_1,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.013764001020232779,Lower,0.04,0.04
3_1,Serum C16:1 (palmitoleic acid),0.01728514767020539,Higher,0.47,0.42
3_1,"Sperm C22:5 n-3 (docosapentaenoic acid, DPA)",0.019181607737087773,Lower,0.9,1.0
3_1,"DNA fragmentation index, DFI (%)",0.02486689322932287,Lower,18.0,19.0
3_1,Teratozoospermia index,0.03141656792154061,Lower,1.42,1.48
3_1,Progressive motility (%),0.032711900061978424,Lower,22.0,30.0
3_1,"Serum C22:5 n-3 (docosapentaenoic acid, DPA)",0.03395733166693214,Lower,1.13,1.25
3_1,"High DNA stainability, HDS (%)",0.03448972428927305,Lower,10.0,10.0
3_1,"Serum C20:5 n-3  (eicosapentaenoic acid, EPA)",0.040100350243561025,Higher,1.69,1.63
3_1,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.04757604349698458,Higher,28.0,27.0
3_3,Serum total testosterone (nmol/L),4.781641118138918e-05,Higher,25.1,16.4
3_3,Body mass index (kg/m²),5.869492435398465e-05,Lower,28.8,29.8
3_3,Tail defects (%),0.0005871839086683028,Lower,14.0,15.0
3_3,Sperm vitality (%),0.0006346945379626083,Lower,85.0,88.0
3_3,"Serum sex hormone-binding globulin, SHBG (nmol/L)",0.0012045546125203387,Higher,31.0,24.0
3_3,Sperm C20:0,0.0025050081421416066,Lower,0.5,0.6
3_3,Abstinence time(days),0.0036034348328966223,Lower,2.5,3.0
3_3,"DNA fragmentation index, DFI (%)",0.0073549815721331725,Lower,14.0,19.0
3_3,Serum C20:1 n-9,0.01086299093783623,Higher,0.15,0.14
3_3,Sperm C24:1 n-9,0.012616877707535511,Lower,1.3,1.7
3_3,Sperm C20:4 n-6 and C22:1 n-9 combined,0.014377967647222538,Lower,2.0,2.5
3_3,Serum inhibin B (ng/L),0.01799553326471619,Higher,172.0,154.0
3_3,Age (years),0.01850734129206736,Lower,32.0,35.0
3_3,Sperm C16:0 (palmitic acid),0.024297760414152096,Lower,21.7,22.4
3_3,Serum oestradiol (nmol/L),0.03845867982808161,Higher,0.15,0.14
3_3,Progressive motility (%),0.038809729605049546,Lower,19.0,30.0
3_4,Serum oestradiol (nmol/L),0.044479722183763545,Higher,0.16999999999999998,0.14
4_0,Progressive motility (%),1.7075016225140432e-14,Lower,17.0,33.0
4_0,Sperm C18:1 n-7 to n-11,1.4517774140775778e-11,Higher,2.6,2.3
4_0,Immotile sperm (%),2.5836144274302953e-10,Higher,41.0,39.0
4_0,Sperm concentration (x10⁶/mL),3.0924154570471866e-10,Lower,19.8,29.4
4_0,Total sperm count (x10⁶),7.135755165588333e-09,Lower,80.8,136.1
4_0,Serum total C18:1,3.505852674463461e-08,Higher,11.26,9.9
4_0,Serum C18:1 n-9 (oleic acid),6.539705279784907e-08,Higher,9.43,8.24
4_0,"Sperm C18:2 n-6 (Linoleic acid, LA)",2.4961541476089537e-06,Higher,4.4,3.6
4_0,"DNA fragmentation index, DFI (%)",1.2128978532511455e-05,Higher,24.0,18.0
4_0,Midpiece and neck defects (%),1.3887700607534692e-05,Higher,31.3,30.5
4_0,Teratozoospermia index,1.6518990082276747e-05,Higher,1.61,1.48
4_0,"Serum C22:6 n-3 (docosahexaenoic acid, DHA)",2.533915530502833e-05,Lower,5.4,5.92
4_0,"High DNA stainability, HDS (%)",2.6983511514336688e-05,Higher,14.0,10.0
4_0,Normal spermatozoa (%),7.240619634060264e-05,Lower,1.5,2.4
4_0,Sperm C20:4 n-6 and C22:1 n-9 combined,0.0001522205243566873,Lower,2.3,2.5
4_0,Head defects (%),0.0001709437015775387,Higher,98.5,97.1
4_0,Body mass index (kg/m²),0.0007797644868226425,Lower,28.8,29.8
4_0,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.0009644517189607046,Lower,7.0,28.0
4_0,"Sperm C20:5 n-3 (eicosapentaenoic acid, EPA)",0.0029101640935134485,Lower,0.06,0.07
4_0,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.0030765169284620174,Lower,0.16,0.16
4_0,Serum total testosterone (nmol/L),0.004246493254285097,Higher,17.2,16.4
4_0,Cytoplasmic droplet (%),0.004888336113503287,Higher,5.4,4.0
4_0,Sperm C24:0,0.005084305226593904,Higher,1.5,1.2
4_0,Sperm C17:0,0.005182685534006668,Lower,0.3,0.3
4_0,Sperm C20:3 n-6,0.005678773356937094,Higher,2.1,1.9
4_0,Serum inhibin B (ng/L),0.006239529755657875,Lower,139.0,163.0
4_0,Sperm C24:1 n-9,0.0071019137210807035,Lower,1.3,1.7
4_0,Serum C20:3 n-6,0.007417360026976699,Higher,3.03,2.91
4_0,Serum C14:0 (myristic acid),0.008031316717418304,Lower,0.26,0.26
4_0,Sperm C20:2 n-6,0.009525684443273775,Higher,0.6,0.5
4_0,Serum C20:4 n-6,0.009643200297160554,Lower,8.37,8.76
4_0,"Sperm C18:3 n-6 (gamma-linoleic acid, GLA)",0.01458216100665421,Lower,0.04,0.04
4_0,Age (years),0.015567250747613405,Lower,33.0,35.0
4_0,Sperm C15:0 (pentadecanoic acid),0.017029323750824867,Lower,0.2,0.2
4_0,Sperm C20:0,0.017764796104728454,Lower,0.6,0.6
4_0,"Sperm C18:3 n-3 (a-linoleic acid, ALA)",0.02157074916946259,Lower,0.08,0.08
4_0,Sperm C16:0 (palmitic acid),0.02264276421921714,Higher,22.6,22.4
4_1,Sperm C18:0 (stearic acid),0.0015460681747783507,Higher,9.6,8.7
4_1,Sperm C20:3 n-6,0.003681162687633107,Higher,2.5,1.9
4_1,Sperm C16:1 n-7 (palmitoleic acid),0.0052207076275063245,Lower,1.1,1.3
4_1,Sperm C17:0,0.01135197055775609,Lower,0.3,0.3
4_1,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.01849698543808896,Lower,0.15,0.16
4_1,Sperm C18:1 trans n-6 to n-11,0.019418682666944093,Lower,0.7,1.1
4_1,"Serum Luteinizing hormone, LH (IU/L)",0.021275879938825473,Higher,5.04,4.2
4_1,Sperm C14:0 (myristic acid),0.025819061309858962,Lower,1.5,1.7
4_1,Midpiece and neck defects (%),0.02682052378609422,Higher,38.0,30.5
4_1,Sperm vitality (%),0.0342609176149034,Higher,94.0,88.0
4_1,Sperm concentration (x10⁶/mL),0.03573165475501372,Lower,19.8,29.4
4_1,Age (years),0.04318714791215504,Lower,33.0,35.0
4_1,Sperm C20:0,0.04498621200955566,Higher,0.7,0.6
4_1,"High DNA stainability, HDS (%)",0.04690602443630426,Higher,15.0,10.0
4_1,Cytoplasmic droplet (%),0.04968778816570265,Higher,5.4,5.0
4_2,Ejaculate volume (mL),5.2661978788133725e-06,Lower,1.7,3.6
4_2,Sperm concentration (x10⁶/mL),5.387058014107775e-06,Higher,97.0,29.4
4_2,Non progressive sperm motility (%),8.097052243261858e-06,Lower,25.0,32.0
4_2,"High DNA stainability, HDS (%)",1.5956770400946397e-05,Lower,6.0,10.0
4_2,Age (years),7.775040043225373e-05,Higher,44.0,35.0
4_2,Sperm C18:0 (stearic acid),8.116952311486934e-05,Lower,8.3,8.7
4_2,Sperm C17:0,0.00018804915482351363,Lower,0.2,0.3
4_2,Seminal plasma anti-Müllerian hormone (AMH) (pmol/L),0.00020261502442522634,Higher,59.0,27.0
4_2,Sperm C16:1 n-7 (palmitoleic acid),0.00023534471469688342,Higher,1.5,1.3
4_2,Serum total C18:1,0.0003811812890683506,Lower,9.17,10.0
4_2,Sperm C14:0 (myristic acid),0.0005342212522727644,Higher,1.8,1.6
4_2,Serum C18:1 n-9 (oleic acid),0.0018578689279480335,Lower,7.75,8.32
4_2,"Serum anti-Müllerian hormone, AMH (pmol/L)",0.0018648864449927452,Lower,24.5,30.0
4_2,Sperm C20:0,0.009091254068539506,Lower,0.6,0.6
4_2,Serum inhibin B (ng/L),0.011925872751112501,Higher,170.0,154.0
4_2,"Serum follicle-stimulating hormone, FSH (IU/L)",0.017841016562327908,Lower,4.68,4.68
4_2,Sperm C20:3 n-6,0.026320583597587315,Lower,1.7,1.9
4_2,Serum C16:1 (palmitoleic acid),0.027417328423741155,Lower,0.385,0.42
4_3,Progressive motility (%),4.573772201765428e-05,Lower,14.0,30.0
4_3,Immotile sperm (%),0.00032656099928387336,Higher,54.0,39.0
4_3,Sperm C15:0 (pentadecanoic acid),0.0006638456641286998,Lower,0.2,0.2
4_3,Serum C18:1 n-9 (oleic acid),0.0009186642791550532,Higher,9.43,8.32
4_3,Serum total C18:1,0.0048642663657321485,Higher,11.26,10.0
4_3,Serum C16:1 (palmitoleic acid),0.005687948742848222,Higher,0.56,0.42
4_3,Sperm C18:1 n-7 to n-11,0.006027114196205666,Higher,2.5,2.3
4_3,"Serum C18:3 n-6 (gamma-linoleic acid, GLA)",0.00851506398080593,Lower,0.15,0.16
4_3,Body mass index (kg/m²),0.013583889114962007,Lower,28.8,29.8
4_3,"Serum C18:2 n-6 (linoleic acid, LA)",0.022434136841966986,Lower,20.33,20.98
4_3,Serum C20:3 n-6,0.02639621328550324,Higher,3.46,2.91
4_3,Sperm C22:0,0.02787572486456282,Lower,1.6,1.7
4_3,Sperm vitality (%),0.028001313228587784,Lower,83.0,88.0
4_3,Normal spermatozoa (%),0.03233237928664919,Higher,3.0,2.4
4_3,Sperm concentration (x10⁶/mL),0.03563431842919063,Lower,19.8,29.4
4_3,Head defects (%),0.044451095277907963,Lower,97.0,97.6
